Season,DateofMatch,HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Winner,Location,Derby,Final,Semi-Final,Quarter-Final
2023/2024,23/06/2024,Switzerland,Germany,1,1,Draw,Frankfurt,FALSE,FALSE,FALSE,FALSE
2023/2024,22/06/2024,Belgium,Romania,2,0,Belgium,Cologne,FALSE,FALSE,FALSE,FALSE
2023/2024,22/06/2024,Turkey,Portugal,0,3,Portugal,Dortmund,FALSE,FALSE,FALSE,FALSE
2023/2024,22/06/2024,Georgia,Czech Republic,1,1,Draw,Hamburg,FALSE,FALSE,FALSE,FALSE
2023/2024,21/06/2024,Netherlands,France,0,0,Draw,Leipzig,FALSE,FALSE,FALSE,FALSE
2023/2024,21/06/2024,Slovakia,Ukraine,1,2,Ukraine,Dusseldorf,FALSE,FALSE,FALSE,FALSE
2023/2024,21/06/2024,Poland,Austria,1,3,Austria,Berlin,FALSE,FALSE,FALSE,FALSE
2023/2024,20/06/2024,Spain,Italy,1,0,Spain,Gelsenkirchen,FALSE,FALSE,FALSE,FALSE
2023/2024,20/06/2024,Denmark,England,1,1,Draw,Frankfurt,FALSE,FALSE,FALSE,FALSE
2023/2024,20/06/2024,Slovenia,Serbia,1,1,Draw,Munich,FALSE,FALSE,FALSE,FALSE
2023/2024,19/06/2024,Scotland,Switzerland,1,1,Draw,Cologne,FALSE,FALSE,FALSE,FALSE
2023/2024,19/06/2024,Germany,Hungary,2,0,Germany,Stuttgart,FALSE,FALSE,FALSE,FALSE
2023/2024,19/06/2024,Croatia,Albania,2,2,Draw,Hamburg,FALSE,FALSE,FALSE,FALSE
2023/2024,18/06/2024,Portugal,Czech Republic,2,1,Portugal,Leipzig,FALSE,FALSE,FALSE,FALSE
2023/2024,18/06/2024,Turkey,Georgia,3,1,Turkey,Dortmund,FALSE,FALSE,FALSE,FALSE
2023/2024,17/06/2024,Austria,France,0,1,France,Dusseldorf,FALSE,FALSE,FALSE,FALSE
2023/2024,17/06/2024,Belgium,Slovakia,0,1,Slovakia,Frankfurt,FALSE,FALSE,FALSE,FALSE
2023/2024,17/06/2024,Romania,Ukraine,3,0,Romania,Munich,FALSE,FALSE,FALSE,FALSE
2023/2024,16/06/2024,Serbia,England,0,1,England,Gelsenkirchen,FALSE,FALSE,FALSE,FALSE
2023/2024,16/06/2024,Slovenia,Denmark,1,1,Draw,Stuttgart,FALSE,FALSE,FALSE,FALSE
2023/2024,16/06/2024,Poland,Netherlands,1,2,Netherlands,Hamburg,FALSE,FALSE,FALSE,FALSE
2023/2024,15/06/2024,Italy,Albania,2,1,Italy,Dortmund,FALSE,FALSE,FALSE,FALSE
2023/2024,15/06/2024,Spain,Croatia,3,0,Spain,Berlin,FALSE,FALSE,FALSE,FALSE
2023/2024,15/06/2024,Hungary,Switzerland,1,3,Switzerland,Cologne,FALSE,FALSE,FALSE,FALSE
2023/2024,14/06/2024,Germany,Scotland,5,1,Germany,Munich,FALSE,FALSE,FALSE,FALSE
